tudou.com,123.126.98.148
amazon.com,176.32.98.166
apple.com,17.178.96.59
wordpress.com,192.0.78.17
windows.com,134.170.185.46
ebay.com,66.135.216.190
pps.tv,58.83.190.154
xunlei.com,163.177.79.253
56.com,59.32.213.232
sohu.com,123.125.116.19
fc2.com,54.215.250.132
paypal.com,66.211.169.3
tmall.com,110.75.115.70
ku6.com,122.11.45.242
yahoo.co.jp,183.79.135.206
about.com,207.241.148.80
orkut.com.br,74.125.193.86
facebook.com,173.252.120.6
hao123.com,123.125.115.150
yahoo.com,98.139.183.24
live.com,65.55.206.154
wikipedia.org,198.35.26.96
msn.com,23.101.196.141
baidu.com,123.125.114.144
youtube.com,216.58.217.46
microsoft.com,134.170.188.221
qq.com,163.177.65.160
rakuten.co.jp,133.237.48.124
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
sogou.com,180.149.156.71
soso.com,106.120.151.169
blogspot.com,216.58.217.41
adobe.com,192.150.16.117
twitter.com,199.59.150.39
taobao.com,110.75.115.70
youku.com,119.167.145.19
andysayler.com,162.243.49.20
163.com,123.58.180.7
mozilla.com,63.245.217.194
wmfo.org,23.92.21.128
ask.com,66.235.120.127
